2019-07-08 11:48:40.345 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557720345; nextExpiration=1562557720330; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:41.361 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557721361; nextExpiration=1562557721345; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:41.361 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557721361; nextExpiration=1562557721345; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:42.362 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557722362; nextExpiration=1562557722361; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:42.362 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557722362; nextExpiration=1562557722361; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:43.378 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557723378; nextExpiration=1562557723362; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:43.378 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557723378; nextExpiration=1562557723362; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:44.393 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557724393; nextExpiration=1562557724378; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:44.393 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557724393; nextExpiration=1562557724378; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:45.409 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557725409; nextExpiration=1562557725393; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:45.409 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557725409; nextExpiration=1562557725393; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:46.425 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557726425; nextExpiration=1562557726409; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:46.425 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557726425; nextExpiration=1562557726409; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:47.440 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557727440; nextExpiration=1562557727425; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:47.440 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557727440; nextExpiration=1562557727425; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:48.440 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557728440; nextExpiration=1562557728440; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:48.440 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557728440; nextExpiration=1562557728440; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:49.442 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557729442; nextExpiration=1562557729440; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:49.442 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557729442; nextExpiration=1562557729440; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:50.458 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557730458; nextExpiration=1562557730442; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:50.458 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557730458; nextExpiration=1562557730442; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:51.473 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557731473; nextExpiration=1562557731458; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:51.473 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557731473; nextExpiration=1562557731458; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:52.487 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557732487; nextExpiration=1562557732473; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:52.487 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557732487; nextExpiration=1562557732473; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:53.503 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557733503; nextExpiration=1562557733487; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:53.503 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557733503; nextExpiration=1562557733487; keyCount=0; hasEvents=false; eval=false
